feature,missing_count,missing_fraction,missing_percent
COMMONAREA_MODE,171811,0.69839598712237,69.839598712237
COMMONAREA_AVG,171811,0.69839598712237,69.839598712237
COMMONAREA_MEDI,171811,0.69839598712237,69.839598712237
NONLIVINGAPARTMENTS_MEDI,170729,0.693997756170531,69.39977561705311
NONLIVINGAPARTMENTS_MODE,170729,0.693997756170531,69.39977561705311
NONLIVINGAPARTMENTS_AVG,170729,0.693997756170531,69.39977561705311
FONDKAPREMONT_MODE,168215,0.6837785763064615,68.37785763064616
LIVINGAPARTMENTS_MEDI,168119,0.6833883450944684,68.33883450944684
LIVINGAPARTMENTS_AVG,168119,0.6833883450944684,68.33883450944684
LIVINGAPARTMENTS_MODE,168119,0.6833883450944684,68.33883450944684
FLOORSMIN_MEDI,166921,0.6785185847614712,67.85185847614711
FLOORSMIN_AVG,166921,0.6785185847614712,67.85185847614711
FLOORSMIN_MODE,166921,0.6785185847614712,67.85185847614711
YEARS_BUILD_AVG,163543,0.6647873239894637,66.47873239894638
YEARS_BUILD_MODE,163543,0.6647873239894637,66.47873239894638
YEARS_BUILD_MEDI,163543,0.6647873239894637,66.47873239894638
OWN_CAR_AGE,162418,0.6602143019739195,66.02143019739195
LANDAREA_AVG,145985,0.593415661279308,59.341566127930804
LANDAREA_MODE,145985,0.593415661279308,59.341566127930804
LANDAREA_MEDI,145985,0.593415661279308,59.341566127930804
BASEMENTAREA_MODE,143829,0.5846517186432961,58.46517186432961
BASEMENTAREA_MEDI,143829,0.5846517186432961,58.46517186432961
BASEMENTAREA_AVG,143829,0.5846517186432961,58.46517186432961
EXT_SOURCE_1,138595,0.5633759877727553,56.33759877727553
NONLIVINGAREA_AVG,135624,0.5512991447432604,55.129914474326036
NONLIVINGAREA_MODE,135624,0.5512991447432604,55.129914474326036
NONLIVINGAREA_MEDI,135624,0.5512991447432604,55.129914474326036
ELEVATORS_MODE,131017,0.5325721114760495,53.257211147604956
ELEVATORS_MEDI,131017,0.5325721114760495,53.257211147604956
ELEVATORS_AVG,131017,0.5325721114760495,53.257211147604956
WALLSMATERIAL_MODE,124975,0.5080119345712335,50.80119345712335
APARTMENTS_MODE,124732,0.507024161815876,50.702416181587594
APARTMENTS_AVG,124732,0.507024161815876,50.702416181587594
APARTMENTS_MEDI,124732,0.507024161815876,50.702416181587594
ENTRANCES_AVG,123775,0.5031340444213196,50.31340444213196
ENTRANCES_MODE,123775,0.5031340444213196,50.31340444213196
ENTRANCES_MEDI,123775,0.5031340444213196,50.31340444213196
LIVINGAREA_MEDI,123462,0.5018617280738837,50.186172807388374
LIVINGAREA_MODE,123462,0.5018617280738837,50.186172807388374
LIVINGAREA_AVG,123462,0.5018617280738837,50.186172807388374
HOUSETYPE_MODE,123328,0.5013170303404767,50.13170303404767
FLOORSMAX_MODE,122297,0.4971261097200091,49.71261097200091
FLOORSMAX_MEDI,122297,0.4971261097200091,49.71261097200091
FLOORSMAX_AVG,122297,0.4971261097200091,49.71261097200091
YEARS_BEGINEXPLUATATION_MEDI,119949,0.48758170466001105,48.758170466001104
YEARS_BEGINEXPLUATATION_MODE,119949,0.48758170466001105,48.758170466001104
YEARS_BEGINEXPLUATATION_AVG,119949,0.48758170466001105,48.758170466001104
TOTALAREA_MODE,118707,0.48253308835485026,48.25330883548503
